gauss	poisson	dropout	n_test	slope_rmse	slope_mae	slope_median_ae	slope_mean_bias	slope_mean_post_std	slope_cov50	slope_cov70	slope_cov90	slope_cov95	acceptance_window_rmse	acceptance_window_mae	acceptance_window_median_ae	acceptance_window_mean_bias	acceptance_window_mean_post_std	acceptance_window_cov50	acceptance_window_cov70	acceptance_window_cov90	acceptance_window_cov95	joint_rmse
0.0	0.0	0.0	100	0.053049	0.028477	0.015939	-0.002189	0.213460	0.3800	0.5000	0.6400	0.7500	0.018292	0.013741	0.009964	0.000015	0.221098	0.6000	0.7400	0.9200	0.9500	0.056114
0.0	0.0	0.1	100	0.034139	0.018309	0.008641	0.005868	0.197234	0.4100	0.5000	0.7200	0.7900	0.021843	0.016479	0.012631	-0.007765	0.233110	0.6600	0.8200	0.9800	0.9900	0.040529
0.0	0.0	0.2	100	0.111356	0.061201	0.027160	0.015850	0.272457	0.5200	0.6500	0.8300	0.9200	0.064342	0.043330	0.023991	-0.039641	0.224633	0.4200	0.5700	0.8000	0.8700	0.128609
0.0	0.0	0.3	100	0.480113	0.296417	0.139673	-0.111476	0.446978	0.2600	0.4500	0.7000	0.7600	0.384232	0.335943	0.334328	-0.335943	0.227208	0.0000	0.0000	0.0000	0.0000	0.614934
0.0	0.1	0.0	100	0.047014	0.025481	0.012838	-0.001127	0.217743	0.4400	0.5900	0.8100	0.9000	0.027767	0.020758	0.015040	0.017528	0.220320	0.4900	0.7200	0.9100	0.9600	0.054602
0.0	0.1	0.1	100	0.061259	0.031001	0.012577	0.002361	0.240366	0.4900	0.6500	0.8200	0.8500	0.029171	0.022310	0.015763	0.013733	0.204323	0.5800	0.8600	0.9800	0.9900	0.067850
0.0	0.1	0.2	100	0.114784	0.061734	0.021638	0.012011	0.275579	0.5100	0.7300	0.8700	0.9200	0.036738	0.026017	0.017612	0.001690	0.215080	0.7300	0.8500	0.9900	1.0000	0.120520
0.0	0.1	0.3	100	0.421350	0.264527	0.139177	-0.066195	0.433258	0.3400	0.6000	0.7900	0.8700	0.292025	0.248598	0.233453	-0.248598	0.229236	0.0000	0.0000	0.0000	0.0200	0.512654
0.0	0.2	0.0	100	0.108301	0.043903	0.016571	0.011317	0.239063	0.2700	0.4900	0.7400	0.8200	0.059963	0.043348	0.031591	0.039674	0.219029	0.1200	0.3000	0.7400	0.8700	0.123793
0.0	0.2	0.1	100	0.062247	0.031685	0.016500	-0.000591	0.236639	0.4600	0.6800	0.8600	0.9200	0.051723	0.035802	0.024783	0.034004	0.216287	0.4100	0.6700	0.9200	0.9600	0.080932
0.0	0.2	0.2	100	0.126509	0.073371	0.038347	0.027108	0.265567	0.3600	0.5700	0.8100	0.8600	0.051489	0.040670	0.035825	0.034848	0.237437	0.4500	0.6900	0.9200	0.9700	0.136586
0.0	0.2	0.3	100	0.591545	0.327504	0.138535	-0.028166	0.446501	0.2900	0.4400	0.7900	0.8700	0.221661	0.181907	0.158911	-0.181738	0.216126	0.0100	0.0300	0.1300	0.1700	0.631711
0.0	0.3	0.0	100	0.331180	0.135653	0.041535	0.044920	0.317161	0.4000	0.5500	0.7700	0.8800	0.139530	0.109179	0.087510	0.108885	0.222576	0.0100	0.0200	0.0800	0.1400	0.359372
0.0	0.3	0.1	100	0.359843	0.117214	0.025755	-0.048423	0.309046	0.3900	0.6100	0.8100	0.8600	0.111638	0.090011	0.076979	0.088727	0.221901	0.0600	0.1300	0.4300	0.5600	0.376763
0.0	0.3	0.2	100	0.188130	0.103455	0.049371	0.002238	0.273916	0.3800	0.5600	0.8100	0.8800	0.097032	0.080573	0.071832	0.078636	0.216274	0.1300	0.2000	0.4600	0.6000	0.211680
0.0	0.3	0.3	100	0.507549	0.282809	0.121133	-0.025915	0.455945	0.3400	0.5100	0.8000	0.9200	0.153844	0.118590	0.093286	-0.117032	0.228874	0.2100	0.3100	0.5400	0.6500	0.530353
0.1	0.0	0.0	100	0.097442	0.035652	0.011597	-0.003704	0.226798	0.3100	0.5500	0.7100	0.7900	0.019127	0.013768	0.009544	0.006175	0.218001	0.6000	0.7900	0.9400	0.9900	0.099301
0.1	0.0	0.1	100	0.044648	0.027257	0.014000	0.003345	0.219495	0.3800	0.5800	0.8200	0.8700	0.028885	0.019846	0.011861	0.001200	0.218569	0.6900	0.8400	0.9500	1.0000	0.053177
0.1	0.0	0.2	100	0.368337	0.128082	0.030011	0.015959	0.335664	0.5800	0.6600	0.8100	0.8900	0.065343	0.044011	0.025226	-0.041557	0.229266	0.3800	0.5600	0.8000	0.8900	0.374088
0.1	0.0	0.3	100	0.676306	0.451216	0.252565	-0.171550	0.521209	0.2500	0.4300	0.6900	0.8000	0.365483	0.314565	0.316647	-0.314565	0.232786	0.0000	0.0000	0.0000	0.0000	0.768744
0.1	0.1	0.0	100	0.140036	0.047267	0.018719	-0.009953	0.235210	0.3200	0.5200	0.6600	0.8100	0.033058	0.023429	0.016936	0.019703	0.211407	0.4500	0.6700	0.9000	0.9600	0.143885
0.1	0.1	0.1	100	0.173147	0.060999	0.023163	0.018903	0.256257	0.4400	0.6300	0.7800	0.8500	0.033574	0.024855	0.018091	0.016757	0.210888	0.4700	0.7000	0.9700	1.0000	0.176372
0.1	0.1	0.2	100	0.329368	0.087878	0.026051	0.048459	0.264136	0.4000	0.6600	0.8100	0.8700	0.041495	0.030130	0.022858	0.006239	0.229192	0.6400	0.8600	0.9700	0.9800	0.331971
0.1	0.1	0.3	100	0.471654	0.287112	0.118853	-0.043482	0.446098	0.3500	0.5600	0.7700	0.8500	0.291362	0.249637	0.232505	-0.249637	0.242811	0.0000	0.0000	0.0100	0.0100	0.554391
0.1	0.2	0.0	100	0.083309	0.045881	0.017795	0.017747	0.237316	0.4000	0.5700	0.7600	0.9000	0.062653	0.050235	0.042549	0.050235	0.232651	0.0900	0.2200	0.5300	0.7000	0.104239
0.1	0.2	0.1	100	0.174748	0.072681	0.026478	0.044714	0.265198	0.3400	0.5100	0.8000	0.8300	0.058180	0.043220	0.033250	0.037939	0.230385	0.3600	0.6000	0.8000	0.9200	0.184179
0.1	0.2	0.2	100	0.359231	0.167046	0.055719	-0.036673	0.357741	0.3600	0.5000	0.8100	0.8400	0.065706	0.053071	0.041204	0.043423	0.232323	0.3900	0.5900	0.9000	0.9700	0.365190
0.1	0.2	0.3	100	0.583947	0.320518	0.159504	-0.105545	0.448843	0.3200	0.5400	0.7700	0.8900	0.226232	0.189240	0.169609	-0.189203	0.233406	0.0300	0.0500	0.1000	0.1100	0.626238
0.1	0.3	0.0	100	0.363811	0.152959	0.053074	0.003036	0.309049	0.3700	0.4700	0.6600	0.7600	0.145936	0.117844	0.090287	0.117844	0.216410	0.0000	0.0100	0.0500	0.1100	0.391989
0.1	0.3	0.1	100	0.296022	0.129472	0.047415	-0.035448	0.308874	0.2700	0.4500	0.6900	0.8100	0.162884	0.132105	0.117633	0.132069	0.216856	0.0300	0.1000	0.2200	0.3100	0.337876
0.1	0.3	0.2	100	0.489592	0.238675	0.093088	-0.028385	0.380433	0.3800	0.5900	0.7800	0.8500	0.138313	0.114797	0.092093	0.111604	0.238829	0.0600	0.1500	0.3700	0.5000	0.508754
0.1	0.3	0.3	100	0.729037	0.409814	0.179906	-0.176328	0.485097	0.2600	0.4800	0.7800	0.8900	0.125165	0.097563	0.078973	-0.092812	0.230755	0.1800	0.2700	0.5400	0.6500	0.739704
0.2	0.0	0.0	100	0.311014	0.093681	0.026446	-0.020924	0.249382	0.3000	0.4000	0.5600	0.6100	0.034305	0.026315	0.018725	0.015521	0.213091	0.3300	0.5100	0.7300	0.8400	0.312900
0.2	0.0	0.1	100	0.300645	0.103598	0.035979	-0.006181	0.251673	0.2800	0.3500	0.5300	0.6700	0.050849	0.037713	0.024747	0.020636	0.227068	0.3800	0.5600	0.7600	0.8600	0.304915
0.2	0.0	0.2	100	0.443690	0.182296	0.067999	-0.075200	0.315687	0.3700	0.4900	0.7200	0.7700	0.072564	0.050218	0.035870	-0.041910	0.225762	0.3800	0.5200	0.8000	0.9200	0.449584
0.2	0.0	0.3	100	0.836149	0.525565	0.218643	-0.253986	0.432412	0.3500	0.4700	0.5900	0.6700	0.405441	0.348474	0.316397	-0.348311	0.214891	0.0000	0.0100	0.0100	0.0200	0.929262
0.2	0.1	0.0	100	0.350008	0.131869	0.042589	-0.024899	0.289463	0.2100	0.3200	0.5300	0.6200	0.043870	0.032366	0.025092	0.027266	0.231905	0.4100	0.5600	0.7600	0.8400	0.352747
0.2	0.1	0.1	100	0.343411	0.131458	0.048045	-0.028166	0.287568	0.2300	0.3100	0.4500	0.6500	0.085425	0.063355	0.044394	0.058919	0.234455	0.3200	0.3900	0.5400	0.6500	0.353877
0.2	0.1	0.2	100	0.338899	0.166814	0.056978	0.011908	0.332682	0.4100	0.5400	0.7800	0.8200	0.045447	0.035021	0.029051	0.014440	0.219602	0.4800	0.6700	0.9300	0.9700	0.341932
0.2	0.1	0.3	100	0.827863	0.568778	0.371852	-0.277077	0.584165	0.2400	0.4600	0.7400	0.8100	0.292236	0.252667	0.243659	-0.252667	0.216964	0.0000	0.0000	0.0300	0.0300	0.877928
0.2	0.2	0.0	100	0.525900	0.198432	0.046040	-0.098554	0.284599	0.2300	0.4300	0.6100	0.6600	0.104075	0.077083	0.058058	0.075568	0.226173	0.1300	0.2500	0.4400	0.5800	0.536099
0.2	0.2	0.1	100	0.603045	0.279611	0.072695	-0.125670	0.357821	0.2200	0.3300	0.5100	0.7100	0.140110	0.109644	0.087808	0.104986	0.245621	0.1900	0.3000	0.4600	0.5800	0.619108
0.2	0.2	0.2	100	0.511760	0.280705	0.121586	-0.104150	0.429045	0.3200	0.5300	0.7600	0.8200	0.103314	0.086938	0.076582	0.075217	0.228271	0.2000	0.3000	0.5300	0.8100	0.522084
0.2	0.2	0.3	100	0.663330	0.442093	0.238689	-0.094125	0.512254	0.3600	0.5100	0.7200	0.8100	0.217094	0.179699	0.154090	-0.179699	0.242694	0.0000	0.0300	0.1500	0.1800	0.697951
0.2	0.3	0.0	100	0.657469	0.339767	0.142427	-0.124537	0.343976	0.2300	0.3500	0.4900	0.5900	0.202876	0.167246	0.132313	0.166515	0.231078	0.0000	0.0200	0.0600	0.0800	0.688058
0.2	0.3	0.1	100	0.726994	0.418639	0.231754	-0.137579	0.393494	0.2200	0.3000	0.5000	0.5700	0.240779	0.201675	0.186822	0.199034	0.230233	0.0000	0.0200	0.1200	0.1700	0.765829
0.2	0.3	0.2	100	0.675039	0.345038	0.116690	-0.156438	0.425326	0.2900	0.4200	0.6300	0.7500	0.174003	0.146356	0.147833	0.142544	0.229449	0.0700	0.1600	0.3300	0.4700	0.697105
0.2	0.3	0.3	100	0.981602	0.585000	0.278601	-0.257741	0.513448	0.2100	0.4100	0.6400	0.7700	0.143795	0.104847	0.078107	-0.101612	0.234261	0.1900	0.2800	0.5700	0.6700	0.992079
0.3	0.0	0.0	100	0.708141	0.363928	0.113883	-0.230918	0.344573	0.2400	0.3600	0.4900	0.5200	0.065865	0.047643	0.035526	0.034671	0.202781	0.3500	0.4500	0.5900	0.6600	0.711197
0.3	0.0	0.1	100	0.558454	0.266227	0.111731	-0.100984	0.305928	0.2600	0.3200	0.5100	0.6700	0.086187	0.065043	0.048319	0.048889	0.235130	0.3300	0.4600	0.6500	0.7600	0.565065
0.3	0.0	0.2	100	0.706835	0.397743	0.180799	-0.087503	0.384739	0.2100	0.3400	0.6400	0.7100	0.083465	0.061154	0.044752	-0.052651	0.231826	0.3200	0.4900	0.7600	0.8900	0.711746
0.3	0.0	0.3	100	0.992129	0.686830	0.451683	-0.368941	0.576636	0.2600	0.4100	0.6300	0.7300	0.388679	0.344903	0.351738	-0.344903	0.214095	0.0000	0.0100	0.0100	0.0100	1.065547
0.3	0.1	0.0	100	0.782341	0.394534	0.117812	-0.190984	0.291346	0.1200	0.2200	0.3800	0.4800	0.108517	0.079386	0.058901	0.074615	0.223713	0.2200	0.3400	0.5300	0.6200	0.789831
0.3	0.1	0.1	100	0.632110	0.315256	0.114179	-0.117115	0.305490	0.2000	0.2900	0.4200	0.5300	0.137525	0.108485	0.088970	0.102133	0.222536	0.1800	0.2600	0.4000	0.5300	0.646897
0.3	0.1	0.2	100	0.792960	0.451873	0.185511	-0.234119	0.339528	0.2200	0.3400	0.4800	0.5600	0.065140	0.047372	0.033479	0.015534	0.224218	0.4100	0.5800	0.8700	0.9300	0.795631
0.3	0.1	0.3	100	0.946966	0.662705	0.422459	-0.304473	0.584726	0.2100	0.3900	0.6200	0.7100	0.315901	0.272494	0.251180	-0.272422	0.235109	0.0100	0.0100	0.0200	0.0600	0.998267
0.3	0.2	0.0	100	0.834992	0.464950	0.163227	-0.244720	0.339247	0.1400	0.2500	0.3700	0.4700	0.202310	0.165269	0.130491	0.165269	0.217078	0.0500	0.0500	0.2400	0.3000	0.859151
0.3	0.2	0.1	100	0.940488	0.578427	0.241376	-0.313286	0.361333	0.2600	0.3000	0.4200	0.5400	0.216534	0.182558	0.157938	0.181169	0.232632	0.0700	0.1200	0.2200	0.3000	0.965093
0.3	0.2	0.2	100	0.817524	0.553559	0.324019	-0.315374	0.468695	0.2300	0.3500	0.4900	0.6100	0.120726	0.101020	0.090604	0.096761	0.231973	0.1900	0.2800	0.5800	0.7300	0.826390
0.3	0.2	0.3	100	1.051304	0.725365	0.511483	-0.400249	0.572190	0.2300	0.3700	0.6000	0.7100	0.234146	0.197250	0.183000	-0.196196	0.222780	0.0700	0.1200	0.1500	0.1700	1.077063
0.3	0.3	0.0	100	1.124540	0.682437	0.272500	-0.399501	0.333993	0.1400	0.1800	0.2800	0.3600	0.318872	0.274591	0.264519	0.274180	0.239766	0.0300	0.0300	0.0500	0.0700	1.168876
0.3	0.3	0.1	100	1.031441	0.611471	0.190563	-0.396934	0.378305	0.1700	0.2600	0.3900	0.5100	0.366357	0.316524	0.283106	0.316524	0.240272	0.0100	0.0200	0.0500	0.1000	1.094572
0.3	0.3	0.2	100	0.913783	0.583977	0.351574	-0.234355	0.450837	0.2400	0.3500	0.4900	0.5900	0.190380	0.164771	0.144163	0.163983	0.233608	0.0300	0.0600	0.2200	0.2600	0.933404
0.3	0.3	0.3	100	0.969005	0.647422	0.461667	-0.235938	0.606662	0.2600	0.3600	0.6300	0.7500	0.156115	0.125493	0.111756	-0.121508	0.223721	0.1100	0.2600	0.4500	0.6100	0.981500
